,temperature,p,alpha_plus,alpha_minus,seed,total_reward
191,0.01,0.1,0.001,0.0075,42,8046
192,0.01,0.1,0.001,0.0075,43,7942
193,0.01,0.1,0.001,0.0075,44,7786
194,0.01,0.1,0.001,0.0075,45,7924
195,0.01,0.1,0.001,0.0075,46,8110
196,0.01,0.1,0.001,0.0075,47,8014
197,0.01,0.1,0.001,0.0075,48,7932
198,0.01,0.1,0.001,0.0075,49,7958
199,0.01,0.1,0.001,0.0075,50,7914
200,0.01,0.1,0.001,0.01,1,7886
201,0.01,0.1,0.001,0.01,2,7878
202,0.01,0.1,0.001,0.01,3,7958
203,0.01,0.1,0.001,0.01,4,7840
204,0.01,0.1,0.001,0.01,5,8022
205,0.01,0.1,0.001,0.01,6,7944
206,0.01,0.1,0.001,0.01,7,7942
207,0.01,0.1,0.001,0.01,8,7960
208,0.01,0.1,0.001,0.01,9,7904
209,0.01,0.1,0.001,0.01,10,7912
210,0.01,0.1,0.001,0.01,11,7962
211,0.01,0.1,0.001,0.01,12,7964
212,0.01,0.1,0.001,0.01,13,7950
213,0.01,0.1,0.001,0.01,14,8056
214,0.01,0.1,0.001,0.01,15,7876
215,0.01,0.1,0.001,0.01,16,7950
216,0.01,0.1,0.001,0.01,17,7958
217,0.01,0.1,0.001,0.01,18,7914
218,0.01,0.1,0.001,0.01,19,7968
219,0.01,0.1,0.001,0.01,20,7860
220,0.01,0.1,0.001,0.01,21,7956
221,0.01,0.1,0.001,0.01,22,7820
222,0.01,0.1,0.001,0.01,23,7874
223,0.01,0.1,0.001,0.01,24,7914
224,0.01,0.1,0.001,0.01,25,7856
225,0.01,0.1,0.001,0.01,26,7886
226,0.01,0.1,0.001,0.01,27,7974
227,0.01,0.1,0.001,0.01,28,7854
228,0.01,0.1,0.001,0.01,29,7912
229,0.01,0.1,0.001,0.01,30,8034
230,0.01,0.1,0.001,0.01,31,7982
231,0.01,0.1,0.001,0.01,32,7886
232,0.01,0.1,0.001,0.01,33,7872
233,0.01,0.1,0.001,0.01,34,7968
234,0.01,0.1,0.001,0.01,35,7850
235,0.01,0.1,0.001,0.01,36,7996
236,0.01,0.1,0.001,0.01,37,7958
237,0.01,0.1,0.001,0.01,38,7942
238,0.01,0.1,0.001,0.01,39,7916
239,0.01,0.1,0.001,0.01,40,8008
240,0.01,0.1,0.001,0.01,41,7858
241,0.01,0.1,0.001,0.01,42,8026
242,0.01,0.1,0.001,0.01,43,7906
243,0.01,0.1,0.001,0.01,44,7754
244,0.01,0.1,0.001,0.01,45,7876
245,0.01,0.1,0.001,0.01,46,8050
246,0.01,0.1,0.001,0.01,47,7994
247,0.01,0.1,0.001,0.01,48,7908
248,0.01,0.1,0.001,0.01,49,7942
249,0.01,0.1,0.001,0.01,50,7866
250,0.01,0.1,0.0025,0.001,1,7966
251,0.01,0.1,0.0025,0.001,2,7946
252,0.01,0.1,0.0025,0.001,3,8034
253,0.01,0.1,0.0025,0.001,4,7912
254,0.01,0.1,0.0025,0.001,5,8062
255,0.01,0.1,0.0025,0.001,6,7992
256,0.01,0.1,0.0025,0.001,7,8026
257,0.01,0.1,0.0025,0.001,8,8036
258,0.01,0.1,0.0025,0.001,9,7988
259,0.01,0.1,0.0025,0.001,10,7988
260,0.01,0.1,0.0025,0.001,11,8006
261,0.01,0.1,0.0025,0.001,12,8036
262,0.01,0.1,0.0025,0.001,13,8026
263,0.01,0.1,0.0025,0.001,14,8100
264,0.01,0.1,0.0025,0.001,15,7976
265,0.01,0.1,0.0025,0.001,16,8014
266,0.01,0.1,0.0025,0.001,17,8042
267,0.01,0.1,0.0025,0.001,18,7950
268,0.01,0.1,0.0025,0.001,19,8040
269,0.01,0.1,0.0025,0.001,20,7924
270,0.01,0.1,0.0025,0.001,21,8024
271,0.01,0.1,0.0025,0.001,22,7908
272,0.01,0.1,0.0025,0.001,23,7930
273,0.01,0.1,0.0025,0.001,24,7970
274,0.01,0.1,0.0025,0.001,25,7924
275,0.01,0.1,0.0025,0.001,26,7934
276,0.01,0.1,0.0025,0.001,27,8030
277,0.01,0.1,0.0025,0.001,28,7922
278,0.01,0.1,0.0025,0.001,29,7984
279,0.01,0.1,0.0025,0.001,30,8078
280,0.01,0.1,0.0025,0.001,31,8022
281,0.01,0.1,0.0025,0.001,32,7974
282,0.01,0.1,0.0025,0.001,33,7900
283,0.01,0.1,0.0025,0.001,34,8020
284,0.01,0.1,0.0025,0.001,35,7906
285,0.01,0.1,0.0025,0.001,36,8064
286,0.01,0.1,0.0025,0.001,37,8010
287,0.01,0.1,0.0025,0.001,38,7982
288,0.01,0.1,0.0025,0.001,39,8000
289,0.01,0.1,0.0025,0.001,40,8056
290,0.01,0.1,0.0025,0.001,41,7970
291,0.01,0.1,0.0025,0.001,42,8074
292,0.01,0.1,0.0025,0.001,43,7974
293,0.01,0.1,0.0025,0.001,44,7826
294,0.01,0.1,0.0025,0.001,45,7960
295,0.01,0.1,0.0025,0.001,46,8126
296,0.01,0.1,0.0025,0.001,47,8046
297,0.01,0.1,0.0025,0.001,48,7968
298,0.01,0.1,0.0025,0.001,49,7978
299,0.01,0.1,0.0025,0.001,50,7938
300,0.01,0.1,0.0025,0.0025,1,7966
301,0.01,0.1,0.0025,0.0025,2,7946
302,0.01,0.1,0.0025,0.0025,3,8034
303,0.01,0.1,0.0025,0.0025,4,7916
304,0.01,0.1,0.0025,0.0025,5,8066
305,0.01,0.1,0.0025,0.0025,6,7996
306,0.01,0.1,0.0025,0.0025,7,8026
307,0.01,0.1,0.0025,0.0025,8,8036
308,0.01,0.1,0.0025,0.0025,9,7988
309,0.01,0.1,0.0025,0.0025,10,7988
310,0.01,0.1,0.0025,0.0025,11,8006
311,0.01,0.1,0.0025,0.0025,12,8036
312,0.01,0.1,0.0025,0.0025,13,8034
313,0.01,0.1,0.0025,0.0025,14,8100
314,0.01,0.1,0.0025,0.0025,15,7976
315,0.01,0.1,0.0025,0.0025,16,8018
316,0.01,0.1,0.0025,0.0025,17,8042
317,0.01,0.1,0.0025,0.0025,18,7950
318,0.01,0.1,0.0025,0.0025,19,8044
319,0.01,0.1,0.0025,0.0025,20,7932
320,0.01,0.1,0.0025,0.0025,21,8024
321,0.01,0.1,0.0025,0.0025,22,7908
322,0.01,0.1,0.0025,0.0025,23,7938
323,0.01,0.1,0.0025,0.0025,24,7970
324,0.01,0.1,0.0025,0.0025,25,7924
325,0.01,0.1,0.0025,0.0025,26,7942
326,0.01,0.1,0.0025,0.0025,27,8030
327,0.01,0.1,0.0025,0.0025,28,7922
328,0.01,0.1,0.0025,0.0025,29,7984
329,0.01,0.1,0.0025,0.0025,30,8082
330,0.01,0.1,0.0025,0.0025,31,8026
331,0.01,0.1,0.0025,0.0025,32,7970
332,0.01,0.1,0.0025,0.0025,33,7904
333,0.01,0.1,0.0025,0.0025,34,8032
334,0.01,0.1,0.0025,0.0025,35,7906
335,0.01,0.1,0.0025,0.0025,36,8064
336,0.01,0.1,0.0025,0.0025,37,8010
337,0.01,0.1,0.0025,0.0025,38,7990
338,0.01,0.1,0.0025,0.0025,39,8000
339,0.01,0.1,0.0025,0.0025,40,8056
340,0.01,0.1,0.0025,0.0025,41,7970
341,0.01,0.1,0.0025,0.0025,42,8074
342,0.01,0.1,0.0025,0.0025,43,7978
343,0.01,0.1,0.0025,0.0025,44,7826
344,0.01,0.1,0.0025,0.0025,45,7960
345,0.01,0.1,0.0025,0.0025,46,8126
346,0.01,0.1,0.0025,0.0025,47,8046
347,0.01,0.1,0.0025,0.0025,48,7968
348,0.01,0.1,0.0025,0.0025,49,7994
349,0.01,0.1,0.0025,0.0025,50,7938
350,0.01,0.1,0.0025,0.005,1,7970
351,0.01,0.1,0.0025,0.005,2,7950
352,0.01,0.1,0.0025,0.005,3,8034
353,0.01,0.1,0.0025,0.005,4,7920
354,0.01,0.1,0.0025,0.005,5,8074
